NPhone_Decay	WtoW_Weight	Participant_Index	Noise_LOC	Reaction_Time	Accuracy
0.15	-0.001	4	0.08	57.59322033898305	0.2783018867924528
0.15	-0.001	4	0.09	54.743589743589745	0.18396226415094338
0.15	-0.001	4	0.1	55.12	0.1179245283018868
0.15	-0.001	4	0.11	52.705882352941174	0.08018867924528301
0.15	-0.001	4	0.12	52.23076923076923	0.06132075471698113
0.15	-0.001	4	0.13	43.09090909090909	0.05188679245283019
0.15	-0.001	4	0.14	40.0	0.04716981132075472
0.15	-0.001	4	0.15	54.2	0.04716981132075472
0.15	-0.001	5	0	37.11904761904762	0.9905660377358491
0.15	-0.001	5	0.01	37.70334928229665	0.9858490566037735
0.15	-0.001	5	0.02	40.570048309178745	0.9764150943396226
0.15	-0.001	5	0.03	42.71808510638298	0.8867924528301887
0.15	-0.001	5	0.04	46.46551724137931	0.8207547169811321
0.15	-0.001	5	0.05	51.5359477124183	0.7216981132075472
0.15	-0.001	5	0.06	52.51219512195122	0.5801886792452831
0.15	-0.001	5	0.07	56.81521739130435	0.4339622641509434
0.15	-0.001	5	0.08	58.74193548387097	0.29245283018867924
0.15	-0.001	5	0.09	56.973684210526315	0.1792452830188679
0.15	-0.001	5	0.1	57.44	0.1179245283018868
0.15	-0.001	5	0.11	52.21052631578947	0.08962264150943396
0.15	-0.001	5	0.12	45.25	0.05660377358490566
0.15	-0.001	5	0.13	47.09090909090909	0.05188679245283019
0.15	-0.001	5	0.14	53.333333333333336	0.04245283018867924
0.15	-0.001	5	0.15	50.875	0.03773584905660377
0.15	-0.001	6	0	37.11904761904762	0.9905660377358491
0.15	-0.001	6	0.01	38.00956937799043	0.9858490566037735
0.15	-0.001	6	0.02	40.728155339805824	0.9716981132075472
0.15	-0.001	6	0.03	43.21052631578947	0.8962264150943396
0.15	-0.001	6	0.04	46.80571428571429	0.8254716981132075
0.15	-0.001	6	0.05	51.2751677852349	0.7028301886792453
0.15	-0.001	6	0.06	56.30708661417323	0.5990566037735849
0.15	-0.001	6	0.07	59.197916666666664	0.4528301886792453
0.15	-0.001	6	0.08	56.90163934426229	0.28773584905660377
0.15	-0.001	6	0.09	56.48717948717949	0.18396226415094338
0.15	-0.001	6	0.1	53.84	0.1179245283018868
0.15	-0.001	6	0.11	50.125	0.07547169811320754
0.15	-0.001	6	0.12	56.333333333333336	0.05660377358490566
0.15	-0.001	6	0.13	50.75	0.05660377358490566
