Feedback_Excitation	Feedback_Inhibition	Cycle	/p/|pl^g	/b/|pl^g	/p/|bl^S	/b/|bl^S	/p/|#l^g	/b/|#l^g	/p/|#l^S	/b/|#l^S
0.0	-0.14	92	0.4894488	0.0	0.0	0.4995923	1.5763399e-06	2.9166995e-07	5.0509277e-07	3.9295996e-06
0.0	-0.14	93	0.48915085	0.0	0.0	0.49961406	1.3449717e-06	2.3645234e-07	4.141188e-07	3.449162e-06
0.0	-0.14	94	0.48885363	0.0	0.0	0.49963462	1.1477258e-06	1.9160109e-07	3.3939742e-07	3.0283998e-06
0.0	-0.14	95	0.48855734	0.0	0.0	0.49965408	9.795416e-07	1.5518926e-07	2.7805166e-07	2.6597716e-06
0.0	-0.14	96	0.48826206	0.0	0.0	0.49967253	8.361104e-07	1.2564388e-07	2.2770854e-07	2.3367072e-06
0.0	-0.14	97	0.48796803	0.0	0.0	0.49969	7.137677e-07	1.0168193e-07	1.8641182e-07	2.0534794e-06
0.0	-0.14	98	0.48767537	0.0	0.0	0.4997065	6.093957e-07	8.225752e-08	1.5254965e-07	1.805094e-06
0.0	-0.14	99	0.48738426	0.0	0.0	0.49972215	5.203413e-07	6.6518666e-08	1.2479458e-07	1.5871941e-06
0.0	-0.13	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.0	-0.13	1	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.0
0.0	-0.13	2	0.18	0.0	0.0	0.18	0.0	0.0	0.0	0.0
0.0	-0.13	3	0.24399999	0.0	0.0	0.24399999	0.0	0.0	0.0	0.0
0.0	-0.13	4	0.2952	0.0	0.0	0.2952	0.0	0.0	0.0	0.0
0.0	-0.13	5	0.33615997	0.0	0.0	0.33615997	0.0	0.0	0.0	0.0
0.0	-0.13	6	0.36892796	0.0	0.0	0.36892796	0.0	0.0	0.0	0.0
0.0	-0.13	7	0.39514235	0.0	0.0	0.39514235	0.0	0.0	0.0	0.0
0.0	-0.13	8	0.41611385	0.0	0.0	0.41611385	0.0	0.0	0.0	0.0
0.0	-0.13	9	0.43289107	0.0	0.0	0.43289107	0.0	0.0	0.0	0.0
0.0	-0.13	10	0.44631284	0.0	0.0	0.44631284	0.1	0.1	0.1	0.1
0.0	-0.13	11	0.45705026	0.0	0.0	0.45705026	0.18	0.18	0.18	0.18
0.0	-0.13	12	0.4656402	0.0	0.0	0.4656402	0.24058881	0.2379238	0.24058881	0.2379238
0.0	-0.13	13	0.47251213	0.0	0.0	0.47251213	0.28584966	0.281327	0.28584966	0.281327
0.0	-0.13	14	0.47800967	0.0	0.0	0.4779945	0.25379172	0.24881978	0.25379172	0.24881978
