TARGET	LEX	AWP	AGSD	LUCEK	ACT	AccType	Acc	RT	RTlength	Length	UP	RTup	TARGET	COH	NB	RHY1	RHY2	EMBED	xEMBED	COHshort	COHlong	COHeq	DEL	ADD	SUB
brud	slex	0.3	0	20	Activation	Max	1	26	29	4	3	6	brud	3	2	1	1	1	1	0	0	3	0	0	2
brud	slex	0.3	0	20	Activation	Abz	1	41	29	4	3	6	brud	3	2	1	1	1	1	0	0	3	0	0	2
brud	slex	0.3	0	20	Activation	Diff	1	35	29	4	3	6	brud	3	2	1	1	1	1	0	0	3	0	0	2
brud	slex	0.3	0	20	Activation	CDiff	1	59	29	4	3	6	brud	3	2	1	1	1	1	0	0	3	0	0	2
brud	slex	0.3	0	20	Probability	Peak	1	100	29	4	3	6	brud	3	2	1	1	1	1	0	0	3	0	0	2
brud	slex	0.3	0	20	Probability	Max	1	26	29	4	3	6	brud	3	2	1	1	1	1	0	0	3	0	0	2
brud	slex	0.3	0	20	Probability	Abz	1	42	29	4	3	6	brud	3	2	1	1	1	1	0	0	3	0	0	2
brud	slex	0.3	0	20	Probability	Diff	1	35	29	4	3	6	brud	3	2	1	1	1	1	0	0	3	0	0	2
brud	slex	0.3	0	20	Probability	CDiff	1	44	29	4	3	6	brud	3	2	1	1	1	1	0	0	3	0	0	2
brxh	slex	0.3	0	20	Activation	Peak	1	95	29	4	3	6	brxh	3	3	3	3	3	1	0	0	3	1	0	2
brxh	slex	0.3	0	20	Activation	Max	1	24	29	4	3	6	brxh	3	3	3	3	3	1	0	0	3	1	0	2
brxh	slex	0.3	0	20	Activation	Abz	1	39	29	4	3	6	brxh	3	3	3	3	3	1	0	0	3	1	0	2
brxh	slex	0.3	0	20	Activation	Diff	1	32	29	4	3	6	brxh	3	3	3	3	3	1	0	0	3	1	0	2
brxh	slex	0.3	0	20	Activation	CDiff	1	52	29	4	3	6	brxh	3	3	3	3	3	1	0	0	3	1	0	2
brxh	slex	0.3	0	20	Probability	Peak	1	96	29	4	3	6	brxh	3	3	3	3	3	1	0	0	3	1	0	2
brxh	slex	0.3	0	20	Probability	Max	1	24	29	4	3	6	brxh	3	3	3	3	3	1	0	0	3	1	0	2
brxh	slex	0.3	0	20	Probability	Abz	1	39	29	4	3	6	brxh	3	3	3	3	3	1	0	0	3	1	0	2
brxh	slex	0.3	0	20	Probability	Diff	1	33	29	4	3	6	brxh	3	3	3	3	3	1	0	0	3	1	0	2
brxh	slex	0.3	0	20	Probability	CDiff	1	40	29	4	3	6	brxh	3	3	3	3	3	1	0	0	3	1	0	2
bust	slex	0.3	0	20	Activation	Peak	1	95	29	4	3	6	bust	2	3	1	8	1	1	1	0	1	1	0	2
bust	slex	0.3	0	20	Activation	Max	1	30	29	4	3	6	bust	2	3	1	8	1	1	1	0	1	1	0	2
bust	slex	0.3	0	20	Activation	Abz	1	41	29	4	3	6	bust	2	3	1	8	1	1	1	0	1	1	0	2
